Crude Oil Prices - Historical Annual Data,,,,,,,,
Year,K,S,Year High,Year Low,Year Close,r,T,sigma
2023,$77.90 ,$80.26 ,$81.62 ,$72.84 ,$77.05 ,-4.30%,1,-3.029525032
2022,$94.53 ,$76.08 ,$123.70 ,$71.59 ,$80.51 ,7.05%,1,19.51761346
2021,$68.17 ,$47.62 ,$84.65 ,$47.62 ,$75.21 ,55.01%,1,30.14522517
2020,$39.68 ,$61.17 ,$63.27 ,$11.26 ,$48.52 ,-20.64%,1,-54.15826613
2019,$56.99 ,$46.31 ,$66.24 ,$46.31 ,$61.14 ,35.42%,1,18.74012985
2018,$65.23 ,$60.37 ,$77.41 ,$44.48 ,$45.15 ,-25.32%,1,7.450559558
2017,$50.80 ,$52.36 ,$60.46 ,$42.48 ,$60.46 ,12.48%,1,-3.070866142
2016,$43.29 ,$36.81 ,$54.01 ,$26.19 ,$53.75 ,44.76%,1,14.96881497
2015,$48.66 ,$52.72 ,$61.36 ,$34.55 ,$37.13 ,-30.53%,1,-8.343608714
2014,$93.17 ,$95.14 ,$107.95 ,$53.45 ,$53.45 ,-45.55%,1,-2.114414511
2013,$97.98 ,$93.14 ,$110.62 ,$86.65 ,$98.17 ,6.90%,1,4.939783629
2012,$94.05 ,$102.96 ,$109.39 ,$77.72 ,$91.83 ,-7.08%,1,-9.473684211
2011,$94.88 ,$91.59 ,$113.39 ,$75.40 ,$98.83 ,8.15%,1,3.467537943
2010,$79.48 ,$81.52 ,$91.48 ,$64.78 ,$91.38 ,15.10%,1,-2.566683442
2009,$61.95 ,$46.17 ,$81.03 ,$34.03 ,$79.39 ,78.00%,1,25.47215496
2008,$99.67 ,$99.64 ,$145.31 ,$30.28 ,$44.60 ,-53.52%,1,0.030099328
2007,$72.34 ,$60.77 ,$99.16 ,$50.51 ,$95.95 ,57.68%,1,15.99391761
2006,$66.05 ,$63.11 ,$77.05 ,$55.90 ,$60.85 ,-0.34%,1,4.451173354
2005,$56.64 ,$42.16 ,$69.91 ,$42.16 ,$61.06 ,40.82%,1,25.56497175
2004,$41.51 ,$33.71 ,$56.37 ,$32.49 ,$43.36 ,33.37%,1,18.79065285
2003,$31.08 ,$31.97 ,$37.96 ,$25.25 ,$32.51 ,4.17%,1,-2.863577864
2002,$26.19 ,$21.13 ,$32.68 ,$18.02 ,$31.21 ,56.36%,1,19.32035128
2001,$25.98 ,$27.29 ,$32.21 ,$17.50 ,$19.96 ,-25.30%,1,-5.042340262
2000,$30.38 ,$25.56 ,$37.22 ,$23.91 ,$26.72 ,3.73%,1,15.86570112
1999,$19.35 ,$12.42 ,$28.03 ,$11.38 ,$25.76 ,112.19%,1,35.81395349
1998,$14.42 ,$17.41 ,$17.93 ,$10.82 ,$12.14 ,-31.22%,1,-20.73509015
1997,$20.61 ,$25.55 ,$26.55 ,$17.60 ,$17.65 ,-31.85%,1,-23.96894711
1996,$22.12 ,$19.83 ,$26.55 ,$17.33 ,$25.90 ,32.55%,1,10.35262206
1995,$18.43 ,$17.45 ,$20.53 ,$16.86 ,$19.54 ,9.96%,1,5.317417254
1994,$17.20 ,$14.52 ,$20.72 ,$13.89 ,$17.77 ,25.23%,1,15.58139535
1993,$18.43 ,$19.03 ,$21.05 ,$13.98 ,$14.19 ,-27.19%,1,-3.255561584
1992,$20.58 ,$19.43 ,$23.03 ,$17.89 ,$19.49 ,1.78%,1,5.587949466
1991,$21.54 ,$26.53 ,$32.25 ,$17.43 ,$19.15 ,-32.76%,1,-23.16620241
1990,$24.53 ,$22.88 ,$41.07 ,$15.43 ,$28.48 ,30.40%,1,6.726457399
1989,$19.64 ,$17.38 ,$24.62 ,$16.99 ,$21.84 ,27.57%,1,11.50712831
1988,$15.97 ,$17.77 ,$18.54 ,$12.58 ,$17.12 ,2.27%,1,-11.27113338
1987,$19.20 ,$18.13 ,$22.44 ,$15.12 ,$16.74 ,-6.64%,1,5.572916667
